No;id;eventtime;t;z;y_base;eta_m;y_jump_m;y_smooth_m;x_jump_m;eta_r;y_r;x_r
1;1;32;1;0;-0.60872376;0.180000007;41.57127762;41.57127762;0.683673143;1;1.89127624;0.552097619
2;1;32;2;0;-0.869934142;0.180000007;41.31006622;41.31006622;0.016670218;1;1.630065918;2.302144766
3;1;32;3;0;-0.905979037;0.180000007;41.27402115;41.27402115;0.152592525;1;1.594020963;1.028909326
4;1;32;4;0;0.148218378;0.180000007;42.32821655;42.32821655;-0.930155396;1;2.648218393;0.261579424
5;1;32;5;0;0.578576088;0.180000007;42.75857544;42.75857544;-0.316354901;1;3.078576088;1.214660764
6;1;32;6;0;-0.340219319;0.180000007;41.8397789;41.8397789;1.694756508;1;2.159780741;1.427196026
7;1;32;7;0;-0.270885795;0.180000007;41.90911484;41.90911484;0.159461901;1;2.229114294;-0.121979855
8;1;32;8;0;-0.851921558;0.180000007;41.32807922;41.32807922;-0.084474258;1;1.648078442;1.778911471
9;1;32;9;0;-0.318344891;0.180000007;41.86165619;41.86165619;1.034576297;1;2.181655169;0.585745275
10;1;32;10;0;-1.025611639;0.180000007;41.15438843;41.15438843;0.499482244;1;1.474388361;0.163325205
11;1;32;11;0;0.120728411;0.180000007;42.30072784;42.30072784;0.309491456;1;2.620728493;1.917267442
12;1;32;12;0;-1.309494734;0.180000007;40.87050629;40.87050629;-0.796473086;1;1.190505266;2.009510517
13;1;32;13;0;0.574376464;0.180000007;42.75437546;42.75437546;1.073717356;1;3.074376583;-0.084649704
14;1;32;14;0;0.064885728;0.180000007;42.24488449;42.24488449;0.500333428;1;2.564885616;0.540795505
15;1;32;15;0;-0.117444225;0.180000007;42.06255722;42.06255722;0.563704252;1;2.382555723;1.739445806
16;1;32;16;0;-0.101712905;0.180000007;42.07828522;42.07828522;0.466030091;1;2.398287058;0.775838494
17;1;32;17;0;1.260572553;0.180000007;43.44057083;43.44057083;0.480934173;1;3.760572433;1.106082916
18;1;32;18;0;0.498313457;0.180000007;42.67831421;42.67831421;0.564375877;1;2.998313427;0.791510582
